country,date,magnitude,magnitude_unit,sign,target,subtarget,confidence,scoring_method,source_url,replication,implementation_first_quarter,implementation_last_quarter,delay_quarters
ESP,2010-01-01,1.0,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2010-01-01,2011-10-01,0
ESP,2010-01-01,0.018,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2010-01-01,2010-01-01,0
FIN,1992-01-01,1.0,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1992-01-01,1992-10-01,0
FIN,1995-01-01,0.7,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1995-01-01,1995-10-01,0
FIN,1995-01-01,0.5,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1995-01-01,1995-10-01,0
FRA,1979-01-01,0.4,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1979-01-01,1979-10-01,0
FRA,1995-01-01,0.9,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1995-01-01,1996-10-01,0
FRA,1995-01-01,0.9,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1995-01-01,1996-10-01,0
FRA,2007-01-01,0.005,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2007-01-01,2007-01-01,0
FRA,2011-01-01,1.0,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2011-01-01,2012-10-01,0
FRA,2011-01-01,1.1,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2011-01-01,2012-10-01,0
FRA,2013-01-01,0.012,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2013-01-01,2013-01-01,0
GBR,1979-01-01,0.018,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1979-01-01,1979-01-01,0
GBR,1980-01-01,0.8,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1980-01-01,1981-10-01,0
GBR,1980-01-01,1.2999999999999998,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1980-01-01,1981-10-01,0
GBR,1988-01-01,0.014,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1988-01-01,1988-01-01,0
GBR,1993-01-01,0.01,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1993-01-01,1993-01-01,0
GBR,1994-01-01,0.6,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1994-01-01,1994-10-01,0
GBR,2010-01-01,1.6,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2010-01-01,2011-10-01,0
GBR,2010-01-01,0.7,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2010-01-01,2011-10-01,0
GBR,2010-01-01,0.02,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2010-01-01,2010-01-01,0
IRL,1981-01-01,0.4,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1981-01-01,1981-10-01,0
IRL,1981-01-01,0.6,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1981-01-01,1981-10-01,0
IRL,1987-01-01,1.4,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1987-01-01,1987-10-01,0
IRL,1991-01-01,0.005,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1991-01-01,1991-01-01,0
IRL,2009-01-01,3.2,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2009-01-01,2010-10-01,0
IRL,2009-01-01,1.2,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2009-01-01,2010-10-01,0
IRL,2009-01-01,0.02,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2009-01-01,2009-01-01,0
ITA,1992-01-01,2.1,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1992-01-01,1993-10-01,0
ITA,1992-01-01,1.7999999999999998,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1992-01-01,1993-10-01,0
ITA,1992-01-01,0.02,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1992-01-01,1992-01-01,0
ITA,1996-01-01,2.0,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1996-01-01,1997-10-01,0
ITA,1996-01-01,1.1,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1996-01-01,1997-10-01,0
ITA,1997-01-01,0.015,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1997-01-01,1997-01-01,0
ITA,2011-01-01,0.018,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2011-01-01,2011-01-01,0
ITA,2012-01-01,1.5,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2012-01-01,2012-10-01,0
ITA,2012-01-01,0.6,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2012-01-01,2012-10-01,0
JPN,1980-01-01,0.5,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1980-01-01,1980-10-01,0
JPN,1989-01-01,0.025,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1989-01-01,1989-01-01,0
JPN,1997-01-01,1.0,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1997-01-01,1997-10-01,0
JPN,1997-01-01,0.015,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1997-01-01,1997-01-01,0
JPN,2014-01-01,0.7,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2014-01-01,2014-10-01,0
JPN,2014-01-01,0.012,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2014-01-01,2014-01-01,0
NLD,1990-01-01,0.005,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1990-01-01,1990-01-01,0
NLD,1992-01-01,0.5,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1992-01-01,1992-10-01,0
NLD,1994-01-01,0.01,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1994-01-01,1994-01-01,0
NLD,2004-01-01,0.6,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2004-01-01,2004-10-01,0
PRT,1981-01-01,0.5,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1981-01-01,1981-10-01,0
PRT,1981-01-01,0.5,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1981-01-01,1981-10-01,0
PRT,1983-01-01,1.0,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1983-01-01,1983-10-01,0
PRT,2011-01-01,2.2,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2011-01-01,2012-10-01,0
PRT,2011-01-01,1.1,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,2011-01-01,2012-10-01,0
SWE,1993-01-01,1.0,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1993-01-01,1993-10-01,0
SWE,1993-01-01,1.0,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1993-01-01,1993-10-01,0
SWE,1994-01-01,0.005,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1994-01-01,1994-01-01,0
SWE,1995-01-01,1.7000000000000002,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1995-01-01,1996-10-01,0
SWE,1995-01-01,1.1,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1995-01-01,1996-10-01,0
SWE,2007-01-01,0.01,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2007-01-01,2007-01-01,0
USA,1948-04-01,3.741115,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1948-04-01,1948-04-01,0
USA,1948-07-01,1.825484,pct_gdp,1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1948-07-01,1948-07-01,0
USA,1950-01-01,0.272529,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1950-01-01,1950-01-01,0
USA,1954-07-01,1.129202,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1954-07-01,1954-07-01,0
USA,1954-10-01,0.71887,pct_gdp,1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1954-10-01,1954-10-01,0
USA,1958-07-01,0.106,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1958-07-01,1958-07-01,0
USA,1959-10-01,0.116913,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1959-10-01,1959-10-01,0
USA,1960-01-01,0.3606,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1960-01-01,1960-01-01,0
USA,1962-01-01,0.012,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1962-01-01,1962-01-01,0
USA,1962-07-01,0.686441,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1962-07-01,1962-07-01,0
USA,1962-10-01,0.151694,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1962-10-01,1962-10-01,0
USA,1963-01-01,0.54781,pct_gdp,1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1963-01-01,1963-01-01,0
USA,1964-04-01,2.550091,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1964-04-01,1964-04-01,0
USA,1965-01-01,0.646831,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1965-01-01,1965-01-01,0
USA,1965-07-01,0.241313,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1965-07-01,1965-07-01,0
USA,1966-01-01,0.227037,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1966-01-01,1966-01-01,0
USA,1966-04-01,0.115399,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1966-04-01,1966-04-01,0
USA,1967-07-01,0.65703,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1967-07-01,1967-07-01,0
USA,1971-01-01,0.01821,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1971-01-01,1971-01-01,0
USA,1971-01-01,0.254939,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1971-01-01,1971-01-01,0
USA,1972-01-01,1.234672,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1972-01-01,1972-01-01,0
USA,1976-10-01,0.127301,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1976-10-01,1976-10-01,0
USA,1977-01-01,0.041252,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1977-01-01,1977-01-01,0
USA,1977-07-01,1.02,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1977-07-01,1977-07-01,0
USA,1977-10-01,0.66,pct_gdp,1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1977-10-01,1977-10-01,0
USA,1978-01-01,0.134884,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1978-01-01,1978-01-01,0
USA,1979-01-01,0.766921,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1979-01-01,1979-01-01,0
USA,1980-01-01,0.062378,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1980-01-01,1980-01-01,0
USA,1980-04-01,0.300443,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1980-04-01,1980-04-01,0
USA,1981-01-01,1.5999999999999999,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1981-01-01,1983-10-01,0
USA,1981-01-01,0.9,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1981-01-01,1982-10-01,0
USA,1981-01-01,0.02,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1981-01-01,1981-01-01,0
USA,1981-01-01,0.697743,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1981-01-01,1981-01-01,0
USA,1981-10-01,0.556876,pct_gdp,1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1981-10-01,1981-10-01,0
USA,1982-01-01,1.355592,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1982-01-01,1982-01-01,0
USA,1983-01-01,0.913417,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1983-01-01,1983-01-01,0
USA,1984-01-01,0.629987,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1984-01-01,1984-01-01,0
USA,1984-07-01,0.201096,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1984-07-01,1984-07-01,0
USA,1985-01-01,0.213618,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1985-01-01,1985-01-01,0
USA,1986-01-01,0.005,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,1986-01-01,1986-01-01,0
USA,1986-01-01,0.095768,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1986-01-01,1986-01-01,0
USA,1986-10-01,0.499329,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1986-10-01,1986-10-01,0
USA,1987-01-01,0.16,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1987-01-01,1987-01-01,0
USA,1987-07-01,0.419481,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1987-07-01,1987-07-01,0
USA,1988-01-01,0.385711,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1988-01-01,1988-01-01,0
USA,1990-01-01,0.6,pct_gdp,-1,consumption,tax,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1990-01-01,1990-10-01,0
