date,urate,unemp_level,v_level,v_rate,hires_level,hires_rate,quits_rate
2011-11-01,8.6000,13302.0000,3565.0000,2.6000,4365.0000,3.3000,1.5000
2011-12-01,8.5000,13093.0000,3768.0000,2.8000,4356.0000,3.3000,1.5000
2012-01-01,8.3000,12797.0000,3909.0000,2.8000,4457.0000,3.3000,1.5000
2012-02-01,8.3000,12813.0000,3616.0000,2.6000,4560.0000,3.4000,1.6000
2012-03-01,8.2000,12713.0000,3979.0000,2.9000,4575.0000,3.4000,1.6000
2012-04-01,8.2000,12646.0000,3793.0000,2.8000,4389.0000,3.3000,1.6000
2012-05-01,8.2000,12660.0000,3835.0000,2.8000,4533.0000,3.4000,1.6000
2012-06-01,8.2000,12692.0000,3911.0000,2.8000,4440.0000,3.3000,1.6000
2012-07-01,8.2000,12656.0000,3735.0000,2.7000,4327.0000,3.2000,1.5000
2012-08-01,8.1000,12471.0000,3809.0000,2.8000,4450.0000,3.3000,1.5000
2012-09-01,7.8000,12115.0000,3882.0000,2.8000,4302.0000,3.2000,1.4000
2012-10-01,7.8000,12124.0000,3775.0000,2.7000,4389.0000,3.3000,1.5000
2012-11-01,7.7000,12005.0000,3878.0000,2.8000,4489.0000,3.3000,1.5000
2012-12-01,7.9000,12298.0000,3970.0000,2.9000,4452.0000,3.3000,1.5000
2013-01-01,8.0000,12471.0000,3923.0000,2.8000,4487.0000,3.3000,1.7000
2013-02-01,7.7000,11950.0000,4004.0000,2.9000,4571.0000,3.4000,1.7000
2013-03-01,7.5000,11689.0000,4076.0000,2.9000,4369.0000,3.2000,1.6000
2013-04-01,7.6000,11760.0000,3988.0000,2.9000,4572.0000,3.4000,1.7000
2013-05-01,7.5000,11654.0000,4145.0000,3.0000,4663.0000,3.4000,1.6000
2013-06-01,7.5000,11751.0000,4150.0000,3.0000,4440.0000,3.3000,1.6000
2013-07-01,7.3000,11335.0000,3885.0000,2.8000,4561.0000,3.3000,1.7000
2013-08-01,7.2000,11279.0000,4085.0000,2.9000,4730.0000,3.5000,1.7000
2013-09-01,7.2000,11270.0000,4128.0000,2.9000,4726.0000,3.5000,1.7000
2013-10-01,7.2000,11136.0000,4222.0000,3.0000,4518.0000,3.3000,1.7000
2013-11-01,6.9000,10787.0000,4119.0000,2.9000,4622.0000,3.4000,1.7000
2013-12-01,6.7000,10404.0000,4121.0000,2.9000,4614.0000,3.4000,1.7000
2014-01-01,6.6000,10202.0000,4127.0000,2.9000,4626.0000,3.4000,1.7000
2014-02-01,6.7000,10349.0000,4373.0000,3.1000,4696.0000,3.4000,1.8000
2014-03-01,6.7000,10380.0000,4388.0000,3.1000,4763.0000,3.5000,1.8000
2014-04-01,6.2000,9702.0000,4566.0000,3.2000,4880.0000,3.5000,1.8000
2014-05-01,6.3000,9859.0000,4747.0000,3.3000,4808.0000,3.5000,1.8000
2014-06-01,6.1000,9460.0000,4982.0000,3.5000,4925.0000,3.5000,1.8000
2014-07-01,6.2000,9608.0000,4846.0000,3.4000,5008.0000,3.6000,1.9000
2014-08-01,6.1000,9599.0000,5349.0000,3.7000,4810.0000,3.5000,1.8000
2014-09-01,5.9000,9262.0000,4914.0000,3.4000,5149.0000,3.7000,2.0000
2014-10-01,5.7000,8990.0000,5012.0000,3.5000,5111.0000,3.7000,1.9000
2014-11-01,5.8000,9090.0000,4843.0000,3.3000,4978.0000,3.6000,1.9000
2014-12-01,5.6000,8717.0000,5130.0000,3.5000,5192.0000,3.7000,1.8000
2015-01-01,5.7000,8885.0000,5344.0000,3.7000,5061.0000,3.6000,2.0000
2015-02-01,5.5000,8599.0000,5466.0000,3.7000,5127.0000,3.6000,1.9000
2015-03-01,5.4000,8515.0000,5210.0000,3.6000,5126.0000,3.6000,2.0000
2015-04-01,5.4000,8550.0000,5598.0000,3.8000,5196.0000,3.7000,1.9000
2015-05-01,5.6000,8834.0000,5563.0000,3.8000,5142.0000,3.6000,1.9000
2015-06-01,5.3000,8247.0000,5248.0000,3.6000,5125.0000,3.6000,1.9000
2015-07-01,5.2000,8167.0000,6056.0000,4.1000,5150.0000,3.6000,1.9000
2015-08-01,5.1000,7992.0000,5467.0000,3.7000,5163.0000,3.6000,2.0000
2015-09-01,5.0000,7907.0000,5488.0000,3.7000,5287.0000,3.7000,2.0000
2015-10-01,5.0000,7922.0000,5773.0000,3.9000,5338.0000,3.7000,2.0000
2015-11-01,5.1000,8000.0000,5708.0000,3.8000,5358.0000,3.8000,2.0000
2015-12-01,5.0000,7907.0000,5845.0000,3.9000,5540.0000,3.9000,2.1000
2016-01-01,4.8000,7627.0000,6012.0000,4.0000,5220.0000,3.6000,2.0000
2016-02-01,4.9000,7702.0000,5770.0000,3.9000,5470.0000,3.8000,2.1000
2016-03-01,5.0000,7961.0000,6129.0000,4.1000,5359.0000,3.7000,2.0000
2016-04-01,5.1000,8067.0000,5803.0000,3.9000,5294.0000,3.7000,2.1000
2016-05-01,4.8000,7652.0000,5777.0000,3.9000,5197.0000,3.6000,2.1000
2016-06-01,4.9000,7744.0000,5742.0000,3.8000,5281.0000,3.7000,2.1000
2016-07-01,4.8000,7641.0000,5962.0000,4.0000,5426.0000,3.8000,2.1000
2016-08-01,4.9000,7784.0000,5677.0000,3.8000,5327.0000,3.7000,2.1000
2016-09-01,5.0000,7953.0000,5868.0000,3.9000,5306.0000,3.7000,2.1000
2016-10-01,4.9000,7811.0000,5591.0000,3.7000,5210.0000,3.6000,2.1000
2016-11-01,4.7000,7553.0000,5971.0000,4.0000,5308.0000,3.7000,2.1000
2016-12-01,4.7000,7521.0000,5964.0000,3.9000,5343.0000,3.7000,2.1000
2017-01-01,4.7000,7468.0000,5617.0000,3.7000,5499.0000,3.8000,2.2000
2017-02-01,4.6000,7379.0000,5923.0000,3.9000,5350.0000,3.7000,2.1000
2017-03-01,4.4000,7073.0000,5811.0000,3.8000,5395.0000,3.7000,2.2000
2017-04-01,4.4000,7089.0000,6091.0000,4.0000,5272.0000,3.6000,2.1000
2017-05-01,4.4000,7000.0000,5826.0000,3.8000,5477.0000,3.7000,2.1000
2017-06-01,4.3000,6873.0000,6305.0000,4.1000,5635.0000,3.8000,2.2000
2017-07-01,4.3000,6892.0000,6238.0000,4.1000,5497.0000,3.7000,2.1000
2017-08-01,4.4000,7082.0000,6276.0000,4.1000,5519.0000,3.8000,2.1000
2017-09-01,4.3000,6854.0000,6320.0000,4.1000,5450.0000,3.7000,2.2000
2017-10-01,4.2000,6700.0000,6408.0000,4.2000,5581.0000,3.8000,2.2000
2017-11-01,4.2000,6774.0000,6271.0000,4.1000,5494.0000,3.7000,2.2000
2017-12-01,4.1000,6632.0000,6336.0000,4.1000,5421.0000,3.7000,2.2000
2018-01-01,4.0000,6489.0000,6621.0000,4.3000,5512.0000,3.7000,2.0000
2018-02-01,4.1000,6581.0000,6552.0000,4.2000,5624.0000,3.8000,2.2000
2018-03-01,4.0000,6472.0000,6818.0000,4.4000,5623.0000,3.8000,2.2000
2018-04-01,4.0000,6459.0000,6877.0000,4.4000,5590.0000,3.8000,2.3000
2018-05-01,3.8000,6196.0000,7016.0000,4.5000,5859.0000,3.9000,2.3000
2018-06-01,4.0000,6447.0000,7230.0000,4.6000,5760.0000,3.9000,2.3000
2018-07-01,3.8000,6195.0000,7190.0000,4.6000,5649.0000,3.8000,2.3000
2018-08-01,3.8000,6156.0000,7208.0000,4.6000,5815.0000,3.9000,2.3000
2018-09-01,3.7000,6073.0000,7411.0000,4.7000,5625.0000,3.8000,2.3000
2018-10-01,3.8000,6211.0000,7304.0000,4.7000,5907.0000,4.0000,2.3000
2018-11-01,3.8000,6115.0000,7594.0000,4.8000,5826.0000,3.9000,2.3000
2018-12-01,3.9000,6389.0000,7489.0000,4.8000,5768.0000,3.9000,2.3000
2019-01-01,4.0000,6475.0000,7502.0000,4.8000,5786.0000,3.9000,2.3000
2019-02-01,3.8000,6136.0000,7066.0000,4.5000,5704.0000,3.8000,2.4000
2019-03-01,3.8000,6202.0000,7317.0000,4.6000,5689.0000,3.8000,2.3000
2019-04-01,3.7000,5961.0000,7272.0000,4.6000,6016.0000,4.0000,2.3000
2019-05-01,3.6000,5930.0000,7275.0000,4.6000,5686.0000,3.8000,2.3000
2019-06-01,3.6000,5935.0000,7194.0000,4.6000,5801.0000,3.8000,2.3000
2019-07-01,3.7000,6061.0000,7042.0000,4.5000,5871.0000,3.9000,2.4000
2019-08-01,3.6000,5945.0000,7178.0000,4.5000,5900.0000,3.9000,2.3000
2019-09-01,3.5000,5753.0000,7124.0000,4.5000,5963.0000,3.9000,2.3000
2019-10-01,3.6000,5871.0000,7289.0000,4.6000,5781.0000,3.8000,2.3000
2019-11-01,3.6000,5868.0000,6888.0000,4.3000,5847.0000,3.9000,2.3000
2019-12-01,3.6000,5853.0000,6699.0000,4.2000,5951.0000,3.9000,2.3000
2020-01-01,3.6000,5869.0000,7124.0000,4.5000,5981.0000,3.9000,2.3000
2020-02-01,3.5000,5753.0000,6966.0000,4.4000,5990.0000,3.9000,2.3000
2020-03-01,4.4000,7206.0000,5894.0000,3.8000,5171.0000,3.4000,1.9000
2020-04-01,14.8000,23084.0000,4606.0000,3.4000,4029.0000,3.1000,1.5000
2020-05-01,13.2000,20929.0000,5612.0000,4.0000,8133.0000,6.1000,1.7000
2020-06-01,11.0000,17652.0000,6129.0000,4.3000,7477.0000,5.4000,1.9000
2020-07-01,10.2000,16352.0000,6530.0000,4.5000,6320.0000,4.5000,2.2000
2020-08-01,8.4000,13461.0000,6429.0000,4.4000,6004.0000,4.3000,2.1000
2020-09-01,7.8000,12554.0000,6511.0000,4.4000,5966.0000,4.2000,2.2000
2020-10-01,6.9000,11072.0000,6798.0000,4.6000,6091.0000,4.3000,2.3000
2020-11-01,6.7000,10694.0000,6820.0000,4.6000,5894.0000,4.1000,2.2000
2020-12-01,6.7000,10770.0000,6773.0000,4.5000,5577.0000,3.9000,2.4000
2021-01-01,6.4000,10260.0000,7162.0000,4.8000,5598.0000,3.9000,2.3000
2021-02-01,6.2000,10013.0000,7827.0000,5.2000,5813.0000,4.1000,2.4000
2021-03-01,6.1000,9772.0000,8499.0000,5.6000,6158.0000,4.3000,2.5000
2021-04-01,6.1000,9754.0000,9346.0000,6.1000,6138.0000,4.2000,2.7000
2021-05-01,5.8000,9260.0000,9954.0000,6.4000,5981.0000,4.1000,2.6000
2021-06-01,5.9000,9481.0000,10319.0000,6.6000,6535.0000,4.5000,2.8000
2021-07-01,5.4000,8731.0000,10983.0000,7.0000,6720.0000,4.6000,2.8000
2021-08-01,5.1000,8269.0000,10872.0000,6.9000,6394.0000,4.3000,2.8000
2021-09-01,4.7000,7610.0000,10834.0000,6.8000,6632.0000,4.5000,2.9000
2021-10-01,4.5000,7267.0000,11238.0000,7.0000,6678.0000,4.5000,2.8000
2021-11-01,4.1000,6729.0000,11199.0000,7.0000,6911.0000,4.6000,3.0000
2021-12-01,3.9000,6413.0000,11520.0000,7.1000,6686.0000,4.5000,2.9000
2022-01-01,4.0000,6533.0000,11210.0000,7.0000,6431.0000,4.3000,2.9000
2022-02-01,3.9000,6323.0000,11698.0000,7.2000,6801.0000,4.5000,2.8000
2022-03-01,3.7000,6033.0000,12301.0000,7.5000,6619.0000,4.4000,2.9000
2022-04-01,3.7000,5995.0000,11861.0000,7.3000,6528.0000,4.3000,3.0000
2022-05-01,3.6000,5979.0000,11535.0000,7.1000,6440.0000,4.2000,2.8000
2022-06-01,3.6000,5975.0000,11283.0000,6.9000,6487.0000,4.3000,2.7000
2022-07-01,3.5000,5770.0000,11576.0000,7.0000,6478.0000,4.2000,2.6000
2022-08-01,3.6000,5909.0000,10092.0000,6.2000,6448.0000,4.2000,2.8000
2022-09-01,3.5000,5747.0000,10800.0000,6.6000,6201.0000,4.0000,2.7000
2022-10-01,3.6000,5949.0000,10447.0000,6.4000,6151.0000,4.0000,2.6000
2022-11-01,3.6000,5918.0000,10632.0000,6.4000,6180.0000,4.0000,2.6000
2022-12-01,3.5000,5781.0000,10902.0000,6.6000,6163.0000,4.0000,2.7000
2023-01-01,3.5000,5770.0000,10318.0000,6.2000,6370.0000,4.1000,2.5000
2023-02-01,3.6000,5987.0000,9857.0000,6.0000,5989.0000,3.9000,2.5000
2023-03-01,3.5000,5859.0000,9655.0000,5.9000,5925.0000,3.8000,2.4000
2023-04-01,3.4000,5747.0000,9966.0000,6.0000,5876.0000,3.8000,2.3000
2023-05-01,3.6000,6084.0000,9368.0000,5.7000,6119.0000,3.9000,2.6000
2023-06-01,3.6000,5985.0000,9180.0000,5.6000,5928.0000,3.8000,2.4000
2023-07-01,3.5000,5923.0000,8657.0000,5.3000,5672.0000,3.6000,2.3000
2023-08-01,3.7000,6275.0000,9254.0000,5.6000,5846.0000,3.7000,2.3000
2023-09-01,3.7000,6274.0000,9259.0000,5.6000,5773.0000,3.7000,2.3000
2023-10-01,3.9000,6463.0000,8580.0000,5.2000,5765.0000,3.7000,2.3000
2023-11-01,3.7000,6226.0000,8602.0000,5.2000,5535.0000,3.5000,2.3000
2023-12-01,3.8000,6329.0000,8520.0000,5.2000,5583.0000,3.6000,2.2000
2024-01-01,3.7000,6175.0000,8378.0000,5.1000,5591.0000,3.6000,2.1000
2024-02-01,3.9000,6486.0000,8440.0000,5.1000,5618.0000,3.6000,2.2000
2024-03-01,3.9000,6521.0000,8206.0000,5.0000,5452.0000,3.5000,2.1000
2024-04-01,3.9000,6486.0000,7529.0000,4.6000,5469.0000,3.5000,2.2000
2024-05-01,3.9000,6627.0000,7782.0000,4.7000,5492.0000,3.5000,2.1000
2024-06-01,4.1000,6881.0000,7416.0000,4.5000,5137.0000,3.3000,2.1000
2024-07-01,4.2000,7098.0000,7426.0000,4.5000,5430.0000,3.4000,2.1000
2024-08-01,4.2000,7063.0000,7520.0000,4.6000,5204.0000,3.3000,2.1000
2024-09-01,4.1000,6849.0000,6943.0000,4.2000,5427.0000,3.4000,2.0000
2024-10-01,4.1000,6951.0000,7379.0000,4.5000,5228.0000,3.3000,2.0000
2024-11-01,4.2000,7089.0000,7566.0000,4.6000,5155.0000,3.3000,1.9000
2024-12-01,4.1000,6920.0000,7295.0000,4.4000,5292.0000,3.3000,1.9000
2025-01-01,4.0000,6865.0000,7431.0000,4.5000,5238.0000,3.3000,2.0000
2025-02-01,4.2000,7104.0000,7242.0000,4.4000,5236.0000,3.3000,2.0000
2025-03-01,4.2000,7132.0000,6952.0000,4.2000,5333.0000,3.4000,2.2000
2025-04-01,4.2000,7155.0000,7098.0000,4.3000,5391.0000,3.4000,2.0000
2025-05-01,4.3000,7248.0000,7310.0000,4.4000,5328.0000,3.4000,2.1000
2025-06-01,4.1000,7054.0000,7204.0000,4.3000,5327.0000,3.4000,2.1000
2025-07-01,4.3000,7272.0000,7089.0000,4.3000,5225.0000,3.3000,2.0000
2025-08-01,4.3000,7380.0000,6919.0000,4.2000,5145.0000,3.2000,2.0000
2025-09-01,4.4000,7605.0000,7169.0000,4.3000,5244.0000,3.3000,1.9000
2025-11-01,4.5000,7781.0000,6846.0000,4.1000,5019.0000,3.2000,2.0000
2025-12-01,4.4000,7503.0000,6550.0000,4.0000,5272.0000,3.3000,2.0000
2026-01-01,4.3000,7368.0000,7240.0000,4.4000,5347.0000,3.4000,2.0000
2026-02-01,4.4000,7571.0000,6922.0000,4.2000,4899.0000,3.1000,1.9000
2026-03-01,4.3000,7239.0000,6887.0000,4.2000,5535.0000,3.5000,2.0000
2026-04-01,4.3000,7373.0000,7585.0000,4.6000,5215.0000,3.3000,1.9000
2026-05-01,4.3000,7307.0000,7594.0000,4.6000,5170.0000,3.3000,1.9000
